GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1
10129600|Due from China Pay-Direct RMB|CPDIR228(F)|HaiPay-FL-182(Float)|Voucher|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR229(A)|HaiPay-FL-183(Available)|Voucher|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR229(F)|HaiPay-FL-183(Float)|Voucher|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR230(A)|HaiPay-FL-184(Available)|Voucher|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR230(F)|HaiPay-FL-184(Float)|Voucher|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR231(A)|HaiPay-FL-185(Available)|Voucher|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR231(F)|HaiPay-FL-185(Float)|Voucher|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR232(A)|HaiPay-HaiPay-2243(Available)|Voucher|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR232(F)|HaiPay-HaiPay-2243(Float)|Voucher|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR233(A)|YeePay-YeePay-0790(Available)|Hybrid|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR233(F)|YeePay-YeePay-0790(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR234(A)|LinkinPay-eBatong-058(Available)|Hybrid|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR234(F)|LinkinPay-eBatong-058(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPOFF001|PSP - Alan - Deposit|Offline|China|Debit|RMB| 666,869.28 | 820,292.28 ||
10129600|Due from China Pay-Direct RMB|CPOFF002|PSP - Ngan - Deposit|Offline|China|Debit|RMB| 10,716.85 | 13,271.66 ||
