GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1|Column2|Column3||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR195(F)|ECPSS-ECPSS-17609(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR196(A)|ECPSS-ECPSS-17610(Available)|Hybrid|China|Debit|RMB| 845,877.84 | 1,066,660.56 |1.261010171|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR196(F)|ECPSS-ECPSS-17610(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR197(A)|ToMerchantPay-95ePay-880115(Available)|Hybrid|China|Debit|RMB| 14.80 | 18.66 |1.260810811|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR197(F)|ToMerchantPay-95ePay-880115(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR198(A)|HaiPay-FL-172(Available)|Voucher|China|Debit|RMB| 85.76 | 108.43 |1.264342351|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR198(F)|HaiPay-FL-172(Float)|Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR200(A)|Xiao-Baofoo-202(Available)|Hybrid|China|Debit|RMB| 1,904,417.88 | 2,417,082.47 |1.26919753|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR200(F)|Xiao-Baofoo-202(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR201(A)|HaiPay-FL-170(Available)|Hybrid|China|Debit|RMB| 136,667.08 | 173,281.35 |1.267908482|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR201(F)|HaiPay-FL-170(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR202(A)|YeePay-YeePay-9086(Available)|Gateway|China|Debit|RMB| 1,953,920.14 | 2,474,422.35 |1.266388682|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR202(F)|YeePay-YeePay-9086(Float)|Gateway|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR203(A)|YeePay-YeePay-9117(Available)|Hybrid|China|Debit|RMB| 52.38 | 66.14 |1.262695685|||x||||||||||||||||||||||||||||
